id,name,image_url,brand,categories,energy,energy_points,energy_value,fiber,fiber_points,fiber_value,fruits_vegetables_nuts_colza_walnut_olive_oils,fruits_vegetables_nuts_colza_walnut_olive_oils_points,fruits_vegetables_nuts_colza_walnut_olive_oils_value,grade,is_beverage,is_cheese,is_fat,is_water,negative_points,positive_points,proteins,proteins_points,proteins_value,saturated_fat,saturated_fat_points,saturated_fat_ratio,saturated_fat_ratio_points,saturated_fat_ratio_value,saturated_fat_value,score,sodium,sodium_points,sodium_value,sugars,sugars_points,sugars_value,carbohydrates,carbohydrates_100g,carbohydrates_serving,carbohydrates_unit,carbohydrates_value,carbon-footprint-from-known-ingredients_100g,carbon-footprint-from-known-ingredients_product,carbon-footprint-from-known-ingredients_serving,energy-kcal,energy-kcal_100g,energy-kcal_serving,energy-kcal_unit,energy-kcal_value,energy-kcal_value_computed,energy-kj,energy-kj_100g,energy-kj_serving,energy-kj_unit,energy-kj_value,energy-kj_value_computed,energy_100g,energy_serving,energy_unit,fat,fat_100g,fat_serving,fat_unit,fat_value,fruits-vegetables-nuts-estimate-from-ingredients_100g,fruits-vegetables-nuts-estimate-from-ingredients_serving,nova-group,nova-group_100g,nova-group_serving,nutrition-score-fr,nutrition-score-fr_100g,proteins_100g,proteins_serving,proteins_unit,salt,salt_100g,salt_serving,salt_unit,salt_value,saturated-fat,saturated-fat_100g,saturated-fat_serving,saturated-fat_unit,saturated-fat_value,sodium_100g,sodium_serving,sodium_unit,sugars_100g,sugars_serving,sugars_unit,fiber_100g,fiber_unit,fiber_serving,cocoa,cocoa_100g,cocoa_label,cocoa_serving,cocoa_unit,cocoa_value
3472860051053,Pur Beurre,https://images.openfoodfacts.org/images/products/347/286/005/1053/front_fr.35.400.jpg,La Mère Poulard,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits",2103,6,2103,0.0,0,0.0,0,0,0,e,0,0,0,0,21,0,6.8,4,6.8,14.8,10,67.5799086757991,10,67.6,14.8,21,0.104,1,0.104,19.8,4,19.8,70.0,70.0,43.4,g,70.0,7.54,9.42,4.67,2103,2103,1300.0,kcal,2103,504.3,2103.0,2103.0,1300.0,kJ,2103.0,2115.9,2103,1300.0,kJ,21.9,21.9,13.6,g,21.9,0.0,0.0,4.0,4.0,4.0,21,21,6.8,4.22,g,0.26,0.26,0.161,g,0.26,14.8,14.8,9.18,g,14.8,0.104,0.0645,g,19.8,12.3,g,,,,,,,,,
8004263504475,Wafer con crema al latte,https://images.openfoodfacts.org/images/products/800/426/350/4475/front_en.14.400.jpg,"Pam & Panorama,","Snacks,Sweet snacks,Biscuits and cakes,Biscuits,Wafers,Stuffed wafers,",2184,6,522,1.2,1,1.2,0,0,0,e,0,0,0,0,22,1,7.5,4,7.5,23.0,10,82.1428571428571,10,82.1,23.0,21,0.16,1,0.16,27.0,5,27.0,59.0,59.0,,g,59.0,,,,522,522,,kcal,522,520.4,,,,,,,2184,,kcal,28.0,28.0,,g,28.0,,,,,,21,21,7.5,,g,0.4,0.4,,g,0.4,23.0,23.0,,g,23.0,0.16,,g,27.0,,g,1.2,g,,,,,,,
80310891,Kinder Joy,https://images.openfoodfacts.org/images/products/80310891/front_en.28.400.jpg,Ferrero,"Snacks, Sweet snacks, Cocoa and its products, Confectioneries, Chocolate candies, Chocolates, Chocolate molds, Easter food, Easter eggs, Hollow chocolate eggs, Œufs en chocolat",2296,6,2296,0.0,0,0.0,0,0,0,e,0,0,0,0,27,0,8.2,5,8.2,15.4,10,48.125,7,48.1,15.4,27,0.1272,1,0.1272,51.0,10,51.0,56.5,56.5,11.3,g,56.5,,,,550,550,110.0,kcal,550,546.8,2296.0,2296.0,459.0,kJ,2296.0,2283.9,2296,459.0,kJ,32.0,32.0,6.4,g,32.0,0.0,0.0,4.0,4.0,4.0,27,27,8.2,1.64,g,0.318,0.318,0.0636,g,0.318,15.4,15.4,3.08,g,15.4,0.1272,0.0254,g,51.0,10.2,g,,,,,,,,,
7622210652461,Croustilles,https://images.openfoodfacts.org/images/products/762/221/065/2461/front_fr.63.400.jpg,Belin,"Snacks,Apéritif,Biscuits apéritifs,Chips et frites,Snacks salés",2264,6,2264,1.9,1,1.9,0,0,0,d,0,0,0,0,16,1,7.3,4,7.3,3.7,3,11.2121212121212,1,11.2,3.7,15,0.6,6,0.6,5.9,1,5.9,54.0,54.0,16.2,g,54.0,43.4,38.2,13.0,543,543,163.0,kcal,543,546.0,2264.0,2264.0,679.0,kJ,2264.0,2278.3,2264,679.0,kJ,33.0,33.0,9.9,g,33.0,0.0,0.0,4.0,4.0,4.0,15,15,7.3,2.19,g,1.5,1.5,0.45,g,1.5,3.7,3.7,1.11,g,3.7,0.6,0.18,g,5.9,1.77,g,1.9,g,0.57,,,,,,
8480000360144,Turrón blando,https://images.openfoodfacts.org/images/products/848/000/036/0144/front_es.69.400.jpg,Hacendado,"Snacks,Snacks sucrés,Confiseries,en:Festive foods,Aliments et boissons de Noël,Confiseries de Noël,Touron,Tourons aux amandes,Tourons crémeux aux amandes",2188,6,2188,5.0,5,5.0,66,2,66,c,0,0,0,0,15,7,13.0,5,13.0,2.8,2,7.77777777777778,0,7.8,2.8,8,0.0,0,0.0,34.0,7,34.0,35.0,35.0,,g,35.0,,,,526,526,,kcal,526,526.0,2188.0,2188.0,,kJ,2188.0,2188.0,2188,,kJ,36.0,36.0,,g,36.0,66.0,66.0,4.0,4.0,4.0,8,8,13.0,,g,0.0,0.0,,g,0.0,2.8,2.8,,g,2.8,0.0,,g,34.0,,g,5.0,g,,,,,,,
2000000213286,Paris brest,https://images.openfoodfacts.org/images/products/200/000/021/3286/front_fr.9.400.jpg,super u,"Biscuits et gâteaux, Pâtisseries, Paris-Brest",1849,5,442,0.0,0,0.0,0,0,0,e,0,0,0,0,21,0,4.7,2,4.7,19.0,10,57.5757575757576,8,57.6,19.0,21,0.12,1,0.12,25.0,5,25.0,31.0,31.0,,g,31.0,,,,442,442,,kcal,442,439.8,,,,,,,1849,,kcal,33.0,33.0,,g,33.0,,,,,,21,21,4.7,,g,0.3,0.3,,g,0.3,19.0,19.0,,g,19.0,0.12,,g,25.0,,g,0.0,g,,,,,,,
3700125802158,Marrons confits,https://images.openfoodfacts.org/images/products/370/012/580/2158/front_fr.16.400.jpg,motta,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Snacks, Snacks sucrés, Confiseries, Fruits à coques et dérivés, Confiseries de fruits à coques, Marrons glacés",1067,3,255,2.9,3,2.9,25,0,25,c,0,0,0,0,13,3,1.6,0,1.6,0.0,0,0.0,0,0.0,0.0,10,0.0,0,0.0,48.0,10,48.0,62.0,62.0,,g,62.0,,,,255,255,,kcal,255,260.2,,,,,,,1067,,kcal,0.0,0.0,,g,0.0,25.0,25.0,4.0,4.0,4.0,10,10,1.6,,g,0.0,0.0,,g,0.0,0.0,0.0,,g,0.0,0.0,,g,48.0,,g,2.9,g,,,,,,,
3250393109195,Origine SAO TOMÉ,https://images.openfoodfacts.org/images/products/325/039/310/9195/front_fr.3.400.jpg,Intermarché,"Snacks, Snacks sucrés, Cacao et dérivés, Chocolats, Chocolats noirs",2665,7,637,13.0,5,13.0,0,0,0,d,0,0,0,0,19,5,10.0,5,10.0,33.0,10,60.0,9,60.0,33.0,14,0.004,0,0.004,13.0,2,13.0,19.0,19.0,,g,19.0,,,,637,637,,kcal,637,637.0,,,,,,,2665,,kcal,55.0,55.0,,g,55.0,,,,,,14,14,10.0,,g,0.01,0.01,,g,0.01,33.0,33.0,,g,33.0,0.004,,g,13.0,,g,13.0,g,,85.0,85.0,Cocoa (minimum),85.0,g,85.0
3760120530074,12 canelés de Bordeaux,https://images.openfoodfacts.org/images/products/376/012/053/0074/front_fr.27.400.jpg,Les Pâtisseries d'Hubert,"Snacks, Snacks sucrés, Biscuits et gâteaux, Gâteaux, Pâtisseries, Canelés",1222,3,292,0.0,0,0.0,0,0,0,d,0,0,0,0,12,0,5.2,3,5.2,0.8,0,25.8064516129032,3,25.8,0.8,12,0.04,0,0.04,43.0,9,43.0,60.0,60.0,,g,60.0,,,,292,292,,kcal,292,288.7,,,,,,,1222,,kcal,3.1,3.1,,g,3.1,0.0,0.0,4.0,4.0,4.0,12,12,5.2,,g,0.1,0.1,,g,0.1,0.8,0.8,,g,0.8,0.04,,g,43.0,,g,,,,,,,,,
7790045001089,Unsalted crackers,https://images.openfoodfacts.org/images/products/779/004/500/1089/front_es.10.400.jpg,granix,"Botanas, Snacks dulces, Galletas y pasteles, Galletas",544,1,130,0.0,0,0.0,0,0,0,b,0,0,0,0,1,1,3.0,1,3.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,1.0,0,1.0,21.0,21.0,,g,21.0,,,,130,130,,kcal,130,132.0,,,,,,,544,,kcal,4.0,4.0,,g,4.0,,,,,,0,0,3.0,,g,0.0,0.0,,g,0.0,0.0,0.0,,g,0.0,0.0,,g,1.0,,g,,,,,,,,,
